primary_label,secondary_labels,filename,collection,rating,scientific_name,common_name,animal_class,duration_in_seconds
amekes,[''],amekes/iNat1149684.ogg,iNat,0.0,Falco sparverius,American Kestrel,Aves,9.26478125
566513,[''],566513/iNat832952.ogg,iNat,0.0,Alouatta seniculus,Colombian Red Howler Monkey,Mammalia,30.8359375
22333,[''],22333/iNat1155704.ogg,iNat,0.0,Eleutherodactylus johnstonei,Lesser Antillean whistling frog,Amphibia,9.9149375
41970,[''],41970/iNat327629.ogg,iNat,0.0,Panthera onca,Jaguar,Mammalia,13.4805
48124,[''],48124/CSA34485.ogg,CSA,0.0,Tettigoniidae,Katydids,Insecta,114.96603125
22973,[''],22973/iNat326860.ogg,iNat,0.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,33.516
22973,[''],22973/iNat1257590.ogg,iNat,0.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,38.504
715170,[''],715170/CSA34515.ogg,CSA,0.0,Copris susanae,Copris susanae,Insecta,104.3761875
517119,[''],517119/iNat949336.ogg,iNat,0.0,Rhinella horribilis,Giant Toad,Amphibia,39.0791875
48124,[''],48124/CSA35184.ogg,CSA,0.0,Tettigoniidae,Katydids,Insecta,140.56040625
banana,[''],banana/XC331387.ogg,XC,4.0,Coereba flaveola,Bananaquit,Aves,9.0
amakin1,[''],amakin1/XC128806.ogg,XC,5.0,Chloroceryle amazona,Amazon Kingfisher,Aves,13.536
715170,[''],715170/CSA35805.ogg,CSA,0.0,Copris susanae,Copris susanae,Insecta,123.3360625
517119,[''],517119/iNat521786.ogg,iNat,0.0,Rhinella horribilis,Giant Toad,Amphibia,19.48078125
50186,[''],50186/CSA35148.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,243.24578125
21211,[''],21211/XC882654.ogg,XC,4.0,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia,37.6424375
52884,[''],52884/CSA18786.ogg,CSA,0.0,Gryllidae,True Crickets,Insecta,71.056375
715170,[''],715170/CSA34513.ogg,CSA,0.0,Copris susanae,Copris susanae,Insecta,66.852875
amakin1,[''],amakin1/XC654346.ogg,XC,4.0,Chloroceryle amazona,Amazon Kingfisher,Aves,7.99346875
41663,[''],41663/iNat846728.ogg,iNat,0.0,Procyon lotor,Common Raccoon,Mammalia,41.528875
22973,[''],22973/iNat154035.ogg,iNat,0.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,27.10596875
50186,[''],50186/CSA14874.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,49.7528125
22973,[''],22973/XC882795.ogg,XC,4.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,90.54040625
52884,[''],52884/CSA14491.ogg,CSA,0.0,Gryllidae,True Crickets,Insecta,115.24471875
banana,[''],banana/XC670368.ogg,XC,3.0,Coereba flaveola,Bananaquit,Aves,23.275
amekes,[''],amekes/iNat302441.ogg,iNat,0.0,Falco sparverius,American Kestrel,Aves,458.448
50186,[''],50186/CSA18201.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,110.62565625
517119,[''],517119/iNat1282698.ogg,iNat,0.0,Rhinella horribilis,Giant Toad,Amphibia,9.856
517119,[''],517119/iNat1110671.ogg,iNat,0.0,Rhinella horribilis,Giant Toad,Amphibia,39.5668125
22333,[''],22333/iNat1274792.ogg,iNat,0.0,Eleutherodactylus johnstonei,Lesser Antillean whistling frog,Amphibia,5.78178125
42007,[''],42007/iNat841400.ogg,iNat,0.0,Puma concolor,Mountain Lion,Mammalia,12.319
amakin1,[''],amakin1/iNat472609.ogg,iNat,0.0,Chloroceryle amazona,Amazon Kingfisher,Aves,9.98459375
amekes,[''],amekes/XC570886.ogg,XC,5.0,Falco sparverius,American Kestrel,Aves,30.288
amekes,[''],amekes/XC466449.ogg,XC,4.0,Falco sparverius,American Kestrel,Aves,58.958375
517119,[''],517119/iNat126773.ogg,iNat,0.0,Rhinella horribilis,Giant Toad,Amphibia,16.728
banana,[''],banana/iNat998528.ogg,iNat,0.0,Coereba flaveola,Bananaquit,Aves,8.2659375
517119,[''],517119/iNat521037.ogg,iNat,0.0,Rhinella horribilis,Giant Toad,Amphibia,20.781875
anhing,[''],anhing/XC524664.ogg,XC,0.0,Anhinga anhinga,Anhinga,Aves,5.2245
amekes,[''],amekes/XC253328.ogg,XC,5.0,Falco sparverius,American Kestrel,Aves,12.0
566513,[''],566513/iNat860046.ogg,iNat,0.0,Alouatta seniculus,Colombian Red Howler Monkey,Mammalia,43.15734375
amekes,[''],amekes/XC946094.ogg,XC,4.0,Falco sparverius,American Kestrel,Aves,17.34103125
50186,[''],50186/CSA35159.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,304.70540625
22333,[''],22333/XC949880.ogg,XC,4.0,Eleutherodactylus johnstonei,Lesser Antillean whistling frog,Amphibia,15.456
715170,[''],715170/CSA34512.ogg,CSA,0.0,Copris susanae,Copris susanae,Insecta,129.769375
50186,[''],50186/CSA35174.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,273.615875
22973,[''],22973/iNat879832.ogg,iNat,0.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,25.86
22973,[''],22973/iNat859872.ogg,iNat,0.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,88.766625
22333,[''],22333/iNat1245802.ogg,iNat,0.0,Eleutherodactylus johnstonei,Lesser Antillean whistling frog,Amphibia,10.06934375
50186,[''],50186/CSA18282.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,42.48
48124,[''],48124/CSA35157.ogg,CSA,0.0,Tettigoniidae,Katydids,Insecta,233.06603125
amakin1,[''],amakin1/XC130272.ogg,XC,2.0,Chloroceryle amazona,Amazon Kingfisher,Aves,12.216
anhing,[''],anhing/XC794838.ogg,XC,4.0,Anhinga anhinga,Anhinga,Aves,11.20728125
52884,[''],52884/CSA18800.ogg,CSA,0.0,Gryllidae,True Crickets,Insecta,271.98346875
566513,[''],566513/iNat885527.ogg,iNat,0.0,Alouatta seniculus,Colombian Red Howler Monkey,Mammalia,28.832
517119,[''],517119/iNat101160.ogg,iNat,0.0,Rhinella horribilis,Giant Toad,Amphibia,19.944
48124,[''],48124/CSA35173.ogg,CSA,0.0,Tettigoniidae,Katydids,Insecta,299.18165625
22973,[''],22973/XC929101.ogg,XC,4.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,26.697
50186,[''],50186/CSA35175.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,144.64121875
715170,[''],715170/CSA34514.ogg,CSA,0.0,Copris susanae,Copris susanae,Insecta,96.10128125
50186,[''],50186/CSA34678.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,90.69953125
21211,[''],21211/XC920892.ogg,XC,3.0,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia,9.67821875
anhing,[''],anhing/XC577780.ogg,XC,4.0,Anhinga anhinga,Anhinga,Aves,7.104
banana,[''],banana/iNat847606.ogg,iNat,0.0,Coereba flaveola,Bananaquit,Aves,7.6858125
52884,[''],52884/CSA18796.ogg,CSA,0.0,Gryllidae,True Crickets,Insecta,28.872
banana,[''],banana/XC736061.ogg,XC,4.0,Coereba flaveola,Bananaquit,Aves,30.912
48124,[''],48124/CSA35111.ogg,CSA,0.0,Tettigoniidae,Katydids,Insecta,130.85325
amakin1,[''],amakin1/XC521986.ogg,XC,3.0,Chloroceryle amazona,Amazon Kingfisher,Aves,19.116
41663,[''],41663/iNat839813.ogg,iNat,0.0,Procyon lotor,Common Raccoon,Mammalia,31.5095
21211,[''],21211/XC934741.ogg,XC,5.0,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia,51.83196875
21211,[''],21211/XC882659.ogg,XC,4.0,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia,111.75184375
22973,[''],22973/iNat326966.ogg,iNat,0.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,26.136
52884,[''],52884/CSA35112.ogg,CSA,0.0,Gryllidae,True Crickets,Insecta,157.2048125
21211,[''],21211/XC920868.ogg,XC,3.0,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia,5.70134375
566513,[''],566513/iNat887872.ogg,iNat,0.0,Alouatta seniculus,Colombian Red Howler Monkey,Mammalia,22.88
amakin1,[''],amakin1/XC128795.ogg,XC,5.0,Chloroceryle amazona,Amazon Kingfisher,Aves,13.968
41970,[''],41970/iNat1015848.ogg,iNat,0.0,Panthera onca,Jaguar,Mammalia,17.088
48124,[''],48124/CSA36346.ogg,CSA,0.0,Tettigoniidae,Katydids,Insecta,137.42125
amekes,[''],amekes/iNat94016.ogg,iNat,0.0,Falco sparverius,American Kestrel,Aves,52.64459375
banana,[''],banana/iNat521485.ogg,iNat,0.0,Coereba flaveola,Bananaquit,Aves,21.8964375
566513,[''],566513/iNat60494.ogg,iNat,0.0,Alouatta seniculus,Colombian Red Howler Monkey,Mammalia,34.6209375
banana,[''],banana/XC214712.ogg,XC,4.0,Coereba flaveola,Bananaquit,Aves,25.12978125
banana,[''],banana/XC372722.ogg,XC,5.0,Coereba flaveola,Bananaquit,Aves,180.06203125
22333,[''],22333/iNat1236061.ogg,iNat,0.0,Eleutherodactylus johnstonei,Lesser Antillean whistling frog,Amphibia,10.19315625
42007,[''],42007/iNat878627.ogg,iNat,0.0,Puma concolor,Mountain Lion,Mammalia,40.11428125
50186,[''],50186/CSA34622.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,77.86225
566513,[''],566513/iNat565106.ogg,iNat,0.0,Alouatta seniculus,Colombian Red Howler Monkey,Mammalia,11.8125
21211,[''],21211/XC917465.ogg,XC,2.0,Allobates femoralis,Spotted-thighed Poison Frog,Amphibia,8.85315625
22333,[''],22333/iNat52742.ogg,iNat,0.0,Eleutherodactylus johnstonei,Lesser Antillean whistling frog,Amphibia,13.776
50186,[''],50186/CSA28885.ogg,CSA,0.0,Cicadidae,Typical Cicadas,Insecta,26.06625
22973,[''],22973/XC167037.ogg,XC,4.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,55.5363125
anhing,[''],anhing/XC191955.ogg,XC,4.0,Anhinga anhinga,Anhinga,Aves,43.416
22973,[''],22973/XC928991.ogg,XC,4.0,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,15.568
566513,[''],566513/iNat68561.ogg,iNat,0.0,Alouatta seniculus,Colombian Red Howler Monkey,Mammalia,218.784
banana,[''],banana/XC33682.ogg,XC,5.0,Coereba flaveola,Bananaquit,Aves,56.08490625
517119,[''],517119/iNat1110670.ogg,iNat,0.0,Rhinella horribilis,Giant Toad,Amphibia,24.5435
